,Adresse,lat,lon,Firmen,Telbuch
2907,"Betlehem 6, 631302 Edlibach",31.7053821,5.2024425,1,0
2992,"Artherstrassse 23A, 6300 Zug",47.15582999999999,8.5314882,1,2
3094,"Luzernerstrasse 112, 6333 Hünenberg See",47.1729999,8.448317399999999,1,2
3099,"Luzernerstrasse 109, 6333 Hünenberg See",47.17159909999999,8.4489728,1,1
3100,"Luzernerstrasse 111B, 6333 Hünenberg See",47.1725655,8.449460499999999,1,2
3101,"Luzernerstrasse 111a, 6333 Hünenberg See",47.1727722,8.4494776,1,0
3103,"Luzernerstrasse 113A, 6333 Hünenberg See",47.1724137,8.4493257,1,1
3105,"Luzernerstrasse 114, 6333 Hünenberg See",47.1727749,8.4481453,1,2
3107,"Luzernerstrasse 120, 6333 Hünenberg See",47.17193839999999,8.4481427,1,2
3108,"Luzernerstrasse 122, 6333 Hünenberg See",47.1720046,8.4479708,1,1
3111,"Luzernerstrasse 74B, 6333 Hünenberg See",47.1757143,8.4504434,1,4
3171,"Kembergstrasse 28, 6333 Hünenberg See",47.1748071,8.4442463,1,2
3172,"Kembergstrasse 39, 6333 Hünenberg See",47.17410719999999,8.4439226,1,1
3173,"Kembergstrasse 45, 6333 Hünenberg See",47.1748755,8.4440364,1,0
3174,"Kembergstrasse 7, 6333 Hünenberg See",47.1739458,8.445924699999999,1,0
3175,"Kemmatten 3, 6333 Hünenberg See",47.171975,8.4464068,1,0
3179,"Kreuzstrasse 8, 6315 Alosen",47.3624571,8.548233,1,0
3182,"Langrüti 10, 6333 Hünenberg See",47.1642096,8.443853599999999,1,2
3183,"Langholzstrasse 24, 6333 Hünenberg See",47.1729844,8.445801099999999,1,2
3185,"Langholzstrasse 36A, 6333 Hünenberg See",47.17318419999999,8.4466095,1,1
3186,"Langholzstrasse 38A, 6333 Hünenberg See",47.1730406,8.4466786,1,1
3187,"Langholzstrasse 38a, 6333 Hünenberg See",47.1730406,8.4466786,1,1
3191,"Langrüti 15, 6333 Hünenberg See",47.1629128,8.440658299999999,1,2
3193,"Langrüti 5, 6331 Hünenberg",47.15955109999999,8.4440118,1,0
3194,"Langrüti 5, 6333 Hünenberg See",47.1632681,8.444906,1,2
3195,"Langweid 1, 6333 Hünenberg See",47.1793001,8.4456957,1,22
3196,"Langweid 11B, 6333 Hünenberg See",47.1798794,8.4442553,1,0
3198,"Langweid 17, 6333 Hünenberg See",47.1796939,8.4453479,1,7
3199,"Langweid 19, 6333 Hünenberg See",47.1798031,8.4449088,1,4
3200," , 6312 Steinhausen",47.1868297,8.4890106,1,3096
3202,"Langholzstrasse 14A, 6333 Hünenberg See",47.1735358,8.4465238,1,1
3204,"Langgasse 49, 6342 Baar",47.1968499,8.5372223,1,0
3223,"Luzernerstrasse 80, 6333 Hünenberg See",47.1751271,8.450722599999999,1,2
3224,"Luzernerstrasse 88, 6333 Hünenberg See",47.1747908,8.450096199999999,1,3
3296,"Neuhofstrasse 2, 6345 Neuheim",47.2032227,8.5742121,1,9
3319,"Mangeli , 6313 Finstersee",47.153465,8.630958000000001,1,0
3375,"Moosstrasse 4, 631502 Alosen",12.8996987,9.67266320000002,1,0
3399,"Hauptstrasse 285, 631302 Edlibach",13.1033391,9.3690831,1,0
3400,"Hauptseestrasse 5, 631503 Morgarten",47.1247385,8.635648699999999,1,0
3401,"Hauptseestrasse 51, 631503 Oberägeri",47.1174805,8.6406525,1,0
3446,"Hinterburg , 6345 Neuheim",47.1956133,8.5721122,1,14
3455,"Hintere Höfe , 6312 Steinhausen",48.2014726,7.937342099999999,1,0
3540,"Guthirt 19, 6300 Zug",47.17786150000001,8.5190217,1,1
3558,"Gutsch 14, 6315 Oberägeri",47.1493328,8.692456600000002,1,0
3588,"Im Grod 1, 631502 Alosen",47.3370045,7.995357,1,0
3591,"Im Grod 26B, 631502 Alosen",47.338077,7.995582499999999,1,0
3593,"Im Blatt F 3, 6345 Neuheim",47.199148,8.574800999999999,1,0
3598,"Hünenbergstrasse 55, 6333 Hünenberg See",47.1771936,8.4271865,1,1
3599,"Hünenbergstrasse 69, 6333 Hünenberg See",47.0645045,8.3157348,1,8
3609,"Im Blatt B 4, 6345 Neuheim",47.199148,8.574800999999999,1,7
3611,"Im Blatt C 3, 6345 Neuheim",47.199148,8.574800999999999,1,1
3616,"Im Jöchler , 6342 Baar",47.2029527,8.5241506,1,0
3626,"Industristrasse 6, 630005 Zug",47.1661672,8.5154946,1,0
3642,"Im Park 1, 6343 Risch",47.1243135,8.463667,1,1
3657,"Hünenbergerstrasse 67, 6333 Hünenberg See",47.17965700000001,8.4466755,1,0
3701,"Huobhalde 11, 6333 Hünenberg See",47.1777287,8.4443468,1,2
3702,"Huobhalde 18, 6333 Hünenberg See",47.1778376,8.4432143,1,2
3703,"Huobhalde 22, 6333 Hünenberg See",47.1779947,8.4429802,1,0
3728,"Huobrain 1, 6333 Hünenberg See",47.1784408,8.442006899999999,1,7
3729,"Huobrain 14, 6333 Hünenberg See",47.177974,8.4413697,1,1
3730,"Huobrain 15, 6333 Hünenberg See",47.1776706,8.4417335,1,0
3731,"Huobrain 16A, 6333 Hünenberg See",47.1776384,8.4412975,1,0
3732,"Huobrain 17, 6333 Hünenberg See",47.1773529,8.4417271,1,1
3734,"Huobrain 5, 6333 Hünenberg See",47.17794670000001,8.4419982,1,1
3737,"Huobstrasse 21, 6333 Hünenberg See",47.1755407,8.4452193,1,0
3738,"Huobstrasse 3, 6333 Hünenberg See",47.1739298,8.4478046,1,7
3739,"Huobstrasse 77B, 6333 Hünenberg See",47.1782182,8.4439207,1,1
3741,"Huobstrasse 85A, 6333 Hünenberg See",47.1788289,8.444037699999999,1,1
0,"Haldenstrasse 5, 6340 Baar", 47.1960393, 8.538261499999999,258,44
1,"Gewerbestrasse 5, 6330 Cham", 47.1883571, 8.4734099,218,51
